model,bandwidth_mbps,cpu_load_target,strategy,repeats,actual_warmup_runs,split_nodes,edge_node_count,cloud_node_count,estimated_total_ms,actual_total_mean_ms,actual_total_std_ms,edge_actual_mean_ms,edge_actual_std_ms,transmission_actual_mean_ms,transmission_actual_std_ms,cloud_actual_mean_ms,cloud_actual_std_ms,payload_bytes_mean,payload_bytes_std,cpu_load_avg,cpu_load_min,cpu_load_max
mobilenet_v2,20.0000,60.0000,pure_edge,10,2,,154,0,40.9806,32.0850,1.3128,32.0850,1.3128,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,61.2196,35.5000,100.0000
mobilenet_v2,20.0000,60.0000,pure_cloud,10,2,__input__,1,153,259.7744,267.3779,6.5731,0.2338,0.0702,251.9288,4.6442,15.2152,2.9747,602112.0000,0.0000,61.1763,35.5000,100.0000
mobilenet_v2,50.0000,60.0000,dsl,10,2,features_7_conv_2,59,95,40.7387,68.0363,44.8215,36.8313,37.5114,19.5049,9.1568,11.7002,0.9110,50176.0000,0.0000,61.3309,35.5000,100.0000
mobilenet_v2,50.0000,60.0000,pure_edge,10,2,,154,0,40.9806,33.3804,2.8671,33.3804,2.8671,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,61.3309,35.5000,100.0000
mobilenet_v2,50.0000,60.0000,pure_cloud,10,2,__input__,1,153,115.2675,125.2513,8.8413,0.2315,0.0648,111.2717,8.1154,13.7482,1.7710,602112.0000,0.0000,61.2990,34.6000,100.0000
mobilenet_v2,100.0000,60.0000,dsl,10,2,features_7_conv_2,59,95,36.7246,49.6748,7.5295,24.6837,3.0007,13.4584,5.6070,11.5328,0.8400,50176.0000,0.0000,61.3740,34.6000,100.0000
mobilenet_v2,100.0000,60.0000,pure_edge,10,2,,154,0,40.9806,45.8822,12.4812,45.8822,12.4812,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,61.3740,34.6000,100.0000
mobilenet_v2,100.0000,60.0000,pure_cloud,10,2,__input__,1,153,67.0986,76.3888,3.1233,0.2496,0.0756,62.2263,1.6268,13.9129,2.5395,602112.0000,0.0000,61.4239,34.6000,100.0000
mobilenet_v2,200.0000,60.0000,dsl,10,2,features_4_conv_2,33,121,34.0603,43.7934,4.1877,13.3943,2.0632,16.9813,4.3677,13.4177,1.8308,100352.0000,0.0000,61.4672,34.6000,100.0000
mobilenet_v2,200.0000,60.0000,pure_edge,10,2,,154,0,40.9806,30.6014,1.9104,30.6014,1.9104,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,61.4672,34.6000,100.0000
mobilenet_v2,200.0000,60.0000,pure_cloud,10,2,__input__,1,153,43.0141,44.7510,1.1996,0.2448,0.0969,32.6133,1.9661,11.8930,1.3128,602112.0000,0.0000,61.5285,34.6000,100.0000
mobilenet_v2,500.0000,60.0000,dsl,10,2,__input__,1,153,28.5634,42.5011,6.7003,0.2586,0.0661,25.1848,5.9271,17.0577,2.1959,602112.0000,0.0000,61.4815,34.6000,100.0000
mobilenet_v2,500.0000,60.0000,pure_edge,10,2,,154,0,40.9806,32.4518,6.5081,32.4518,6.5081,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,61.4928,34.6000,100.0000
mobilenet_v2,500.0000,60.0000,pure_cloud,10,2,__input__,1,153,28.5634,31.2251,3.1436,0.1937,0.0273,18.2194,3.8858,12.8121,2.1451,602112.0000,0.0000,61.5027,34.6000,100.0000
mobilenet_v2,1000.0000,60.0000,dsl,10,2,__input__,1,153,23.7465,31.2901,6.3960,0.2173,0.0691,19.7305,6.1122,11.3423,0.3361,602112.0000,0.0000,61.5027,34.6000,100.0000
mobilenet_v2,1000.0000,60.0000,pure_edge,10,2,,154,0,40.9806,29.3601,1.6512,29.3601,1.6512,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,61.4295,31.9000,100.0000
mobilenet_v2,1000.0000,60.0000,pure_cloud,10,2,__input__,1,153,23.7465,30.7995,5.0020,0.2887,0.1388,16.3042,3.9823,14.2065,2.4111,602112.0000,0.0000,61.4709,31.9000,100.0000
